Decade,Date,Total Bison Population,Natural Pressures on Bison,Social Pressures on Bison,Economics,Legislation Concerning Bison,Recovery Efforts,References,,Full citation,,,,,,,
,1991,0,,,,,Congress appropriated funding for Tribal bison programs ,"Gates, et al., 2010",,Texas State Library and Archives Commission. 2016. To Love the Beautiful The Story of Texas State Parks. <https://www.tsl.texas.gov/exhibits/parks/index.html>. Accessed 10 Jun 2019.,,,,,,,
,1993,0,,,North American Bison Cooperative formed with 330 bison producer members ,,The Nature Conservancy reintroduced 300 bison to the Tallgrass Prairie Preserve in Oklahoma,"The Nature Conservancy, n.d.
Mckee and Boland, 2009",,The Nature Conservancy Kansas. 2016. Year-End Report. <https://www.nature.org/content/dam/tnc/nature/en/documents/KS-year-end-report-2016.pdf>. Accessed 7 Jun 2019.,,,,,,,
,1994,0,,,"North American Bison Cooperative opens a Slaughter and processing facility and process 5,000 bison annualy",,,"Mckee and Boland, 2009",,The Nature Conservancy. 2008. Reintroduction of Bison to Iowa - Broken Kettle Grasslands Preserve. <https://www.nature.org/en-us/about-us/where-we-work/united-states/iowa/stories-in-iowa/reintroduction-of-bison-to-iowa-broken-kettle-grasslands-preserve/>. Accessed 6 Jun 2019.,,,,,,,
,1995,0,,,,,National Bison Assocation formed with the merge of American Bison Association and National Buffalo Association,"Popper and Popper, 2006",,The Nature Conservancy. n.d. American Bison. <https://www.nature.org/en-us/explore/animals-we-protect/american-bison/>. Accessed 21 Jun 2019.,,,,,,,
,1999,0,,,"Due to increased demand the North American Bison Cooperative process 8,000 bison anually ",,The Nature Conservancy acquired the Medano Zapata Ranch in Colorado along with one of the largest bison herds in North America,"National Park Service et al, 2005; Mckee and Boland, 2009",,The Nature Conservancy. n.d. Bison Round-up at Tallgrass Prairie Preserve. <https://www.nature.org/en-us/about-us/where-we-work/united-states/oklahoma/stories-in-oklahoma/bison-round-up-at-tallgrass-prairie-preserve/>. Accessed 7 Jun 2019.,,,,,,,
2000s,2000,0,,,,,The Nature Conservancy in Kanasas reintroduces bison to the Smoky Valley Ranch ,"The Nature Conservancy Kansas, 2016",,"The Wild Free-Roaming Horses And Burros Act of 1971, 16 U.S.C. §1331.",,,,,,,
,2002,231950,,,,,,,,"Tolles, T. 2013. Preserved in Bronze: The West’s Vanishing Wildlife. Page 56 in. The American West in Bronze, 1850-1925. The Metropolitan Museum of Art, New York.",,,,,,,
,2005,398049,,,"The North American Bison Cooperative joins a contracual alliance with North Dakota Natural Beef, LLC.  ",,Wildlife Conservation Society re-establishes American Bison Society,"Redford, 2007; Mckee and Boland, 2009",,"Trevithick, F., 1872. Life of Richard Trevithick: with an Account of his Inventions Vol. 1. London; New York: E. & FN Spon.",,,,,,,
,2006,448827,Severe drought in much of the Southwest and Great Plains ,,,,Bison Summit is held in Denver to plot out bison’s ecological future,"Boyd and Gates, 2006; NOAA National Centers for Environmental Information, 2007; Redford, 2007",,U.S Forest Service. n.d. Bitterroot National Forest - History & Culture. <https://www.fs.usda.gov/main/bitterroot/learning/history-culture>. Accessed 17 Jun 2019.,,,,,,,
,2008,415111,,"Meeting on “Building Blocks for Bison Ecological Restoration” held in Rapid City, S. D. 

Wood bison from Elk Island National Park in Canada arrived at their temporary new home at the Alaska Wildlife Conservation Center on June 19, 2008.",,,,"American Bison Society, 2008; Alaska Department of Fish and Game, 2008",,U.S. National Park Service. n.d. Bison Bellows: Tallgrass Prairie National Preserve. <https://www.nps.gov/articles/bison-bellows-5-19-16.htm>. Accessed 6 Jun 2019.,,,,,,,
,2009,415111,,,,,"TNC Tallgrass Prairie National Preserve in Kansas adds to the bison herd. 

TNC Broken Kettle Grasslands in Iowa adds to the Bison herd 

23 Plains Bison were translocated from WICA to TNC Ranchi El Uno Ecological reserve in Chihuahua State","The Nature Conservancy, 2008; U.S. National Park Service, n.d.; Geremia et al, 2017; Gates, et al., 2010",,U.S. National Park Service. n.d. The Southern Transcontinental Railroad. <https://www.nps.gov/amis/learn/historyculture/str.htm>. Accessed 14 Jun 2019.,,,,,,,
2010s,2011,344525,,,,,TNC Dunn Ranch in Missouri adds to the herd,"Lee, 2014",,Wildlife Conservation Society. n.d. About Our Park - Bronx Zoo. <https://bronxzoo.com/about>. Accessed 6 Aug 2019.,,,,,,,
,2013,317960,,,,"TX Gov. Rick Perry signed Senate Bill 174 , May 10. The measure was authored by Sen. Craig Estes, R-Wichita Falls, and was sponsored in the House of Representatives by Reps. Charles Anderson, R-Waco; Charles Perry, R-Lubbock; and Dan Flynn, R-Van. Both the Senate and the House voted unanimously for the bill. (Bill Relating to the control of stray bison and other estrays)",,"State of Texas Act of May 10, 2013",,Wildlife Conservation Society. n.d. Bison. <https://www.wcscanada.org/Wildlife/Bison.aspx>. Accessed 21 Jun 2019.,,,,,,,
,2014,317960,,,,,"The Nature Conservancy reintroduced Bison to the prairie in Nachusa Grasslands in Illinois.

Smithosonian's National Zoo in D.C. exhibits two (2) bison for the 125th Anniversary. ","Kleiman, 2016; Smithsonian’s National Zoo & Conservation Biology Institute, n.d.",,"Williams, R. W. 1907. Game Commissions and Wardens: Their Appointment, Powers and Duties.",,,,,,,
,2016,312132,,,,"May 9th President Obama signs bill, declaring bison as the national mammal.",TNC Kankakee Sands in Indiana.,"Higgs, 2019
National Bison Legacy Act, 2016",,"Wilson, M.C., L.V Hills, and B. Shapiro. 2008. Late Pleistocence northward-dispersing Bison antiquus from the Bighill creek formation, Gallelli gravel pit, Alberta, Canada, and the fate of Bison occidentalis. Canadian Journal of Earth Sciences. 45:827-859.  ",,,,,,,
,2017,312132,,,Bison meat sales top $350 million,,,"National Bison Association, 2017",,"Wood, J. H. 2000. The Orgin of Public Bison Herds in the United States. Wicao Sa Review 15(1) 157-182.",,,,,,,
,2018,372502,,,,,,"USDA, 2016 Ag census",,"Worcester, D. E., and T. F. Schilz. 1984. The Spread of Firearms among the Indians on the Anglo-French Frontiers. American Indian Quarterly 8:103–115. University of Nebraska Press. <http://www.jstor.org/stable/1184207>.",,,,,,,
,,,,,,,,,,Wyoming State Archives. n.d. Game and Fish. <http://wyoarchives.state.wy.us/index.php/state-government-finding-aids>. Accessed 17 Jun 2019.,,,,,,,
,,,,,,,,,,"Zorich, Z. 2017. Greenlands vanished Vikings. Scientific American 316(6) 66-73.",,,,,,,
