OID,longitude,latitude,code,observation,sitenumber,sitename,unit,sitetypeshortremarks,elevation(masl),youngdatebp,olddatebp,year,month,day,archaeologicalcultureperiod,Country,States.Provinces,US.counties,NISP,MNI,species,specimenID,References,,Reference_number,Reference_citation
1792,-112.2833333,47.08333333,3,5204,4118,Blacktail Cave [24LC151],,,1580.898071,6765,6765,-4815,NA,NA,,United States of America,Montana,Lewis and Clark,6,2,Bison bison,,"412, 544, 886, 948",,,
1793,-112.2808598,43.2278048,1,Ferris-1831-04-30,NW8089,Ferris-1831-04-30,1830-35-Ferris,"moving up Snake towards forks, killed numbers of bison ",1429.077881,119,NA,1831,4,30,,United States of America,Idaho,Bingham,3,23,Bison bison,,342,,,
1794,-112.2712668,51.54620225,1,Palliser-1859-06-14,NW12605,Palliser-1859-06-14,1856-59-Palliser,at same camp,961.4547729,91,NA,1859,6,14,,Canada,Alberta,.,3,3,Bison bison,,1227,,,
1795,-112.2712246,45.45815661,1,Ferris-1831-09-24,NW8184,Ferris-1831-09-24,1830-35-Ferris,"Up Ruby, bison numerous in all directions",1903.843506,119,NA,1831,9,24,,United States of America,Montana,Madison,3,33,Bison bison,,342,,,
1796,-112.2702494,51.57050084,1,Palliser-1859-06-22,NW12613,Palliser-1859-06-22,1856-59-Palliser,"Running bison, killed 3 grizzly bears",961.4547729,91,NA,1859,6,22,,Canada,Alberta,.,3,20,Bison bison,,1227,,,
1797,-112.265876,38.558083,2,,,Five Finger Ridge,Assemblage,,1930.653442,650,840,1300,NA,NA,Fremont,United States of America,Utah,Sevier,39,NA,,,426,,,
1798,-112.2639514,60.57584852,1,Hearne-1772-02-20,NW837,Hearne-1772-02-20,1770-74-Hearne,"till 24th  small river L Clowey then Grt Slave L (Athabascow), bison moose ",173.0986176,178,NA,1772,2,20,,Canada,Northwest Territories,.,3,6,Bison bison,,"521, 388",,,
1799,-112.2638111,47.20984589,1,Ferris-1832-09-11,NW8428,Ferris-1832-09-11,1830-35-Ferris,"hunters got bull, deer, antelopes",1316.671631,118,NA,1832,9,11,,United States of America,Montana,Lewis and Clark,3,4,Bison bison,,342,,,
1800,-112.2559058,44.57957938,1,Ogden-1825-09-30,NW6865,Ogden-1825-09-30,1824-30-Ogden,Camas plains 29 June campsite hunting bison,2100.025146,125,NA,1825,9,30,,United States of America,Montana,Beaverhead,3,20,Bison bison,,981,,,
1801,-112.25,40.5,3,7681,6326,Tooele [42TO000],,,1967.128662,690,1130,1260,NA,NA,Fremont,United States of America,Utah,Tooele,0,1,Bison bison,,"403, 1394",,,
1802,-112.25,44.61666667,3,5566,4419,Merrell [24BE1659],,,2100.025146,25030,25030,-23080,NA,NA,,United States of America,Montana,Beaverhead,0,1,Bison sp,,298,,,
1803,-112.2490579,44.58064792,1,Russ-1835-09-27,NW10293,Russell-1835-09-27,1834-40-Russell,"remained to ""feast on fat buffalo""",2100.025146,115,NA,1835,9,27,,United States of America,Montana,Beaverhead,3,16,Bison bison,,1113,,,
1804,-112.244421,42.10633,2,,10OA2,Malad Hill,Occupation II,,1431.165161,770,2950,1180,NA,NA,Blue Dome Phase (Avonlea related),United States of America,Idaho,Oneida,1,NA,,,"1256, 158, 177",,,
1805,-112.2395317,44.60242191,1,Russ-1835-09-26,NW10292,Russell-1835-09-26,1834-40-Russell,"E side of marshy Red Rock Lake ""valley full of buffalo""",2100.025146,115,NA,1835,9,26,,United States of America,Montana,Beaverhead,3,20,Bison bison,,1113,,,
1806,-112.2365261,60.52242552,1,Hearne-1772-02-19,NW836,Hearne-1772-02-19,1770-74-Hearne,"till 24th  small river L Clowey then Grt Slave L (Athabascow), bison moose ",173.0986176,178,NA,1772,2,19,,Canada,Northwest Territories,.,3,6,Bison bison,,"521, 388",,,
1807,-112.2363067,60.10246575,1,King-1833-09-03,NW10020,King-1833-09-03,1833-36-Back,"meet party Chipwyan recently killed moose, many muskrat, some beaver",177.9052429,117,NA,1833,9,3,,Canada,Northwest Territories,.,2,2,Bison bison,,"703, 48",,,
1808,-112.2347058,59.84218494,1,PikeW-1890-02-14.4,NW13219,PikeW-1890-02-14.4,1889-94-PikeW,"describes general bison-Akiska FN locations in Hay R area, c. 1890",192.9793549,60,NA,1890,2,14.4,,Canada,Alberta,.,1,1,Bison bison,,1019,,,
1809,-112.2333333,32.33333333,3,5837,4675,Ventana Cave [AZ Z:12:5],,,682.8825684,7500,25000,-5550,NA,NA,,United States of America,Arizona,Pima,0,3,Bison sp,,"72, 209, 497, 508",,,
1810,-112.233316,32.349963,3,,AZ Z:12:5 (ASM),Ventana Cave,conglomerate,Rockshelter,682.8825684,14500,NA,-12550,NA,NA,,United States of America,Arizona,Pima,3,NA,,,"592, 209",,,
1811,-112.2331427,60.48379714,1,Hearne-1772-02-18,NW835,Hearne-1772-02-18,1770-74-Hearne,"till 24th  small river L Clowey then Grt Slave L (Athabascow), bison moose ",173.0986176,178,NA,1772,2,18,,Canada,Northwest Territories,.,3,6,Bison bison,,"521, 388",,,
1812,-112.2315261,45.43181172,1,Russ-1835-09-16,NW10282,Russell-1835-09-16,1834-40-Russell,"Another 10M down ""numbers of bison on plains""",1903.843506,115,NA,1835,9,16,,United States of America,Montana,Madison,3,13,Bison bison,,1113,,,
1813,-112.23,43.3,2,,10BV30,Owl Cave (Wasden),,Rockshelter,1424.764282,8000,NA,-6050,NA,NA,Agate Basin,United States of America,Idaho,Bingham,NA,50,,,906,,,
1814,-112.2298653,44.16157979,1,Ferris-1831-06-15,NW8104,Ferris-1831-06-15,1830-35-Ferris,Poison Weed Ck till June 19 Nez Perce camp arrives,1616.746094,119,NA,1831,6,15,,United States of America,Idaho,Clark,3,20,Bison bison,,342,,,
1815,-112.2282471,44.23130482,1,Ferris-1831-06-10,NW8103,Ferris-1831-06-10,1830-35-Ferris,Poison Weed Ck till June 19 (processing bison?),1616.746094,119,NA,1831,6,10,,United States of America,Idaho,Clark,3,20,Bison bison,,342,,,
1816,-112.2266729,43.2465789,1,Russ-1834-10-02,NW10159,Russell-1834-10-02,1834-40-Russell,Traded with Shoshone hunting bison Blackfoot bottoms,1429.077881,116,NA,1834,10,2,,United States of America,Idaho,Bingham,3,20,Bison bison,,1113,,,
1817,-112.2226674,43.00278326,1,Wyeth-1834-07-12,NW9926,Wyeth-1834-07-12,1832-35-Wyeth,left Bonneville to Ross FK saw few bison,1597.307007,116,NA,1834,7,12,,United States of America,Idaho,Bannock,3,3,Bison bison,,1424,,,
1818,-112.2185632,44.29135632,1,Ferris-1831-06-05,NW8102,Ferris-1831-06-05,1830-35-Ferris,Poison Weed Ck till June 19 (processing bison?) w Flatheads,1616.746094,119,NA,1831,6,5,,United States of America,Idaho,Clark,3,20,Bison bison,,342,,,
1819,-112.216667,51.966667,2,,,ElPb-3,Level 4,"Level 4, 30-40 cm depth",852.3740234,3573,3773,-1623,NA,NA,,Canada,Alberta,.,NA,NA,,,"1352, 838",,,
1820,-112.216667,51.966667,2,,,ElPb-3,Level 2,"Level 2, 10-20 cm depth",852.3740234,684,864,1266,NA,NA,,Canada,Alberta,.,NA,NA,,,"1352, 838",,,
1821,-112.216667,51.966667,2,,,ElPb-3,Level 3,"Level 3, 20-30 cm depth",852.3740234,488,648,1462,NA,NA,,Canada,Alberta,.,NA,NA,,,"1352, 838",,,
1822,-112.216667,51.966667,2,,,ElPb-3,Level 1,"Level 1, 0-10 cm depth",852.3740234,306,486,1644,NA,NA,,Canada,Alberta,.,NA,NA,,,"1352, 838",,,
1823,-112.2166667,51.96666667,3,24874,16107,ElPb-3,,,852.3740234,5465,5465,-3515,NA,NA,,Canada,Alberta,.,0,4,Bison sp,,"75, 760, 482",,,
1824,-112.216381,41.467068,2,,42BO3,Willard Mounds,Assemblage,,1290.189575,690,1250,1260,NA,NA,Fremont,United States of America,Utah,Box Elder,94,NA,,,795,,,
1825,-112.2158622,51.54250049,1,Palliser-1859-06-24,NW12615,Palliser-1859-06-24,1856-59-Palliser,Running bison drying meat,961.4547729,91,NA,1859,6,24,,Canada,Alberta,.,3,20,Bison bison,,1227,,,
1826,-112.2143056,51.50337074,1,Palliser-1859-07-04,NW12625,Palliser-1859-07-04,1856-59-Palliser,"In same camp, bison nearby",961.4547729,91,NA,1859,7,4,,Canada,Alberta,.,3,20,Bison bison,,1227,,,
1827,-112.2076337,60.46215443,1,Hearne-1772-02-17,NW834,Hearne-1772-02-17,1770-74-Hearne,"till 24th  small river L Clowey then Grt Slave L (Athabascow), bison moose ",173.0986176,178,NA,1772,2,17,,Canada,Northwest Territories,.,3,6,Bison bison,,"521, 388",,,
1828,-112.202907,41.202629,2,,42WB57,Warren,Assemblage,,1284.856689,1180,NA,770,NA,NA,Fremmont,United States of America,Utah,Weber,75,NA,,,795,,,
1829,-112.1953115,44.39297843,1,Ferris-1833-11-14,NW8601,Ferris-1833-11-14,1830-35-Ferris,"went to Bitterroot Fks via BigHole, bison abundant to BR pass",1976.25061,117,NA,1833,11,14,,United States of America,Idaho,Clark,3,16,Bison bison,,342,,,
1830,-112.1893585,52.45718935,1,Henday-1754-09-27,NW227,Henday-1754-09-27,1754-55-Henday,"W 14M killed 6 beaver, 3 moose, 3 buffalo, Archtunies light large fire",771.3270264,196,NA,1754,9,27,,Canada,Alberta,.,3,5,Bison bison,,"80, 893",,,
1831,-112.189205,43.396494,2,,,Wahmuza,,,1424.764282,1250,1900,700,NA,NA,,United States of America,Idaho,Bingham,22,NA,,,1027,,,
1832,-112.1864926,43.75371771,1,Ferris-1832-05-31,NW8355,Ferris-1832-05-31,1830-35-Ferris,likey had reached camp near forks of Snake,1477.614746,118,NA,1832,5,31,,United States of America,Idaho,Jefferson,2,2,Bison bison,,342,,,
1833,-112.1844914,60.0139811,1,Franklin-1820-07-21,NW5239,Franklin-1820-07-21,1819-30-Franklin,"fill barrels, get bison, 1st hunt by Franklin? Down Slave R",177.9052429,130,NA,1820,7,21,,Canada,Northwest Territories,.,3,4,Bison bison,,366,,,
1834,-112.1841659,51.53046158,1,Palliser-1859-07-05,NW12626,Palliser-1859-07-05,1856-59-Palliser,"Sent out hunters after buffalo, Cree war party",961.4547729,91,NA,1859,7,5,,Canada,Alberta,.,3,20,Bison bison,,1227,,,
1835,-112.1787599,60.00878317,1,Hearne-1772-01-25,NW811,Hearne-1772-01-25,1770-74-Hearne,"Hunting bison and moose along Slave River, look f Athabascans",177.9052429,178,NA,1772,1,25,,Canada,Northwest Territories,.,3,6,Bison bison,,"521, 388",,,
1836,-112.175,49.808333,3,,,Bayrock [DkPb-2],NA,"cross-bedded sand deposited by an ice-margin stream, 40 feet depth, to provide a maximum age for bison skull and artifacts",800.5131836,12686,13186,-10736,NA,NA,,Canada,Alberta,.,NA,NA,,,"1352, 838",,,
1837,-112.175,49.808333,3,,,Bayrock [DkPb-2],NA,"sandy alluvium containing sticks and erect willow stumps, 8.2 m depth, to provide a maximum age for bison skull and artifacts",800.5131836,12128,12528,-10178,NA,NA,,Canada,Alberta,.,NA,NA,,,"1352, 838",,,
1838,-112.175,49.80833333,3,22525,14382,Bayrock [DkPb-2],,,800.5131836,10750,11250,-8800,NA,NA,,Canada,Alberta,.,0,1,Bison sp,,"1416, 1298",,,
1839,-112.174705,41.46538,2,,42BO98,Bear River 3,Assemblage,residential camp,1290.189575,385,736,1565,NA,NA,Fremont,United States of America,Utah,Box Elder,670,7,,,1179,,,
1840,-112.1746771,44.34048038,1,Ferris-1831-05-31,NW8101,Ferris-1831-05-31,1830-35-Ferris,"west to Poison Weed Ck, bison driven N by Flatheads",1976.25061,119,NA,1831,5,31,,United States of America,Idaho,Clark,3,20,Bison bison,,342,,,
1841,-112.172994,41.475674,2,,42BO107,Levee,Assemblage,,1290.189575,710,1250,1240,NA,NA,Fremont,United States of America,Utah,Box Elder,624,6,,,795,,,
1842,-112.1728855,43.86225615,1,Russ-1835-10-03,NW10299,Russell-1835-10-03,1834-40-Russell,Moved S across dry plains bison and wolves,1475.182251,115,NA,1835,10,3,,United States of America,Idaho,Jefferson,3,13,Bison bison,,1113,,,
1843,-112.1659251,45.75519323,1,Ferris-1831-09-21,NW8181,Ferris-1831-09-21,1830-35-Ferris,"trouble with Blackfeet, so headed upstream",1443.69043,119,NA,1831,9,21,,United States of America,Montana,Jefferson,2,2,Bison bison,,342,,,
1844,-112.1656889,40.70418516,1,Leonard-1833-08-03,SW3164,Leonard-1833-08-03,,"moving SW from Bear R towards south end of Salt Lake, no specific location or wildlife data",1546.827148,117,NA,1833,8,3,,United States of America,Utah,Salt Lake,2,2,,,754,,,
1845,-112.1651819,45.39586435,1,Ferris-1831-09-25,NW8185,Ferris-1831-09-25,1830-35-Ferris,"Up Ruby, bison numerous in all directions",1903.843506,119,NA,1831,9,25,,United States of America,Montana,Madison,3,33,Bison bison,,342,,,
1846,-112.1641151,52.45927769,1,Henday-1754-09-29,NW229,Henday-1754-09-29,1754-55-Henday,"Same camp, likely on Battle R, killed 4 buffalo 6 elk",771.3270264,196,NA,1754,9,29,,Canada,Alberta,.,3,17,Bison bison,,"80, 893",,,
1847,-112.1600642,42.48959001,1,Ferris-1831-04-10,NW8081,Ferris-1831-04-10,1830-35-Ferris,broke trail to Portneuf forks by walking,1495.958618,119,NA,1831,4,10,,United States of America,Idaho,Bannock,3,3,Bison bison,,342,,,
1848,-112.153483,41.496808,2,,42BO109,Knoll,Assemblage,,1290.189575,640,NA,1310,NA,NA,Fremont,United States of America,Utah,Box Elder,54,3,,,795,,,
1849,-112.153414,41.482032,2,,42BO55,Bear River 1,Assemblage,,1290.189575,640,1125,1310,NA,NA,Fremont,United States of America,Utah,Box Elder,1798,22,,,795,,,
1850,-112.15,41.04,1,429,Utah Mus NH-none,"W of Farmington Bay, Davis Co, UT",,,1325.745605,10,NA,1940,NA,NA,,United States of America,Utah,Davis,NA,NA,,Utah Mus NH,1281,,,
1851,-112.1499973,52.46611172,1,Henday-1754-09-28,NW228,Henday-1754-09-28,1754-55-Henday,Same camp killed 4 buffalo 2 moose,721.4801025,196,NA,1754,9,28,,Canada,Alberta,.,3,7,Bison bison,,"80, 893",,,
1852,-112.1430345,45.18976537,1,Ferris-1831-09-28,NW8188,Ferris-1831-09-28,1830-35-Ferris,"bison hunt, killed Blackfoot?",1986.671509,119,NA,1831,9,28,,United States of America,Montana,Madison,3,33,Bison bison,,342,,,
1853,-112.14211,60.44488399,1,Hearne-1772-02-16,NW833,Hearne-1772-02-16,1770-74-Hearne,"till 24th  small river L Clowey then Grt Slave L (Athabascow), bison moose ",178.7406158,178,NA,1772,2,16,,Canada,Northwest Territories,.,3,6,Bison bison,,"521, 388",,,
1854,-112.139532,36.076635,3,,,Battleship Rock,,,1680.852783,11700,160000,-9750,NA,NA,,United States of America,Arizona,Coconino,NA,NA,,,830,,,
1855,-112.1383339,42.42938321,1,Ferris-1831-04-09,NW8080,Ferris-1831-04-09,1830-35-Ferris,"did not work, so still stuck in snow ",1633.435547,119,NA,1831,4,9,,United States of America,Idaho,Bannock,3,13,Bison bison,,342,,,
1856,-112.137911,41.487022,2,,42BO57,Bear River 2,Assemblage,,1415.307007,766,1240,1184,NA,NA,Fremont,United States of America,Utah,Box Elder,1220,21,,,795,,,
1857,-112.1374772,45.18536648,1,Russ-1839-11-20,NW10833,Russell-1839-11-20,1834-40-Russell,Bison hunting at head of Jefferson kill estimated,1986.671509,111,NA,1839,11,20,,United States of America,Montana,Madison,3,3,Bison bison,,1113,,,
1858,-112.13736,36.056915,3,,,B:16:0461; Mather Campgroud GRCA,,,1680.852783,36,188,1914,NA,NA,,United States of America,Arizona,Coconino,NA,NA,,,830,,,
1859,-112.136,36.045,3,,,B:16:105,,,1680.852783,1000,1100,950,NA,NA,,United States of America,Arizona,Coconino,NA,NA,,,283,,,
1860,-112.133102,41.165213,2,,,42Wb304,Assemblage,,1310.103149,1000,NA,950,NA,NA,,United States of America,Utah,Weber,1,NA,,,795,,,
1861,-112.1317772,45.21151344,1,Ferris-1831-09-27,NW8187,Ferris-1831-09-27,1830-35-Ferris,"went through narrow defile on Ruby, abundant bison above",1986.671509,119,NA,1831,9,27,,United States of America,Montana,Madison,3,33,Bison bison,,342,,,
1862,-112.1315642,44.60151955,1,Ogden-1825-09-28,NW6863,Ogden-1825-09-28,1824-30-Ogden,Same camp drying meat,2324.089355,125,NA,1825,9,28,,United States of America,Montana,Beaverhead,3,13,Bison bison,,981,,,
1863,-112.1310598,44.59773013,1,Ogden-1825-09-27,NW6862,Ogden-1825-09-27,1824-30-Ogden,Going S from Centennial still many bison,2324.089355,125,NA,1825,9,27,,United States of America,Montana,Beaverhead,3,20,Bison bison,,981,,,
1864,-112.1278725,42.41253277,1,Ferris-1831-04-07,NW8078,Ferris-1831-04-07,1830-35-Ferris,"trying to descend pass, deep snow",1633.435547,119,NA,1831,4,7,,United States of America,Idaho,Bannock,3,20,Bison bison,,342,,,
1865,-112.1247819,42.42159203,1,Ferris-1831-04-08,NW8079,Ferris-1831-04-08,1830-35-Ferris,"tried to drive bulls downvalley to break trail, killed 40",1633.435547,119,NA,1831,4,8,,United States of America,Idaho,Bannock,3,33,Bison bison,,342,,,
1866,-112.1221035,45.79620257,1,Ferris-1832-09-21,NW8438,Ferris-1832-09-21,1830-35-Ferris,"in camp digesting, visited Frasers grave, opened",1533.900635,118,NA,1832,9,21,,United States of America,Montana,Madison,2,2,Bison bison,,342,,,
1867,-112.1215283,45.1259118,1,Ferris-1831-09-30,NW8190,Ferris-1831-09-30,1830-35-Ferris,drying meat hunting,2026.583374,119,NA,1831,9,30,,United States of America,Montana,Madison,3,33,Bison bison,,342,,,
1868,-112.12,42.43,1,402,Idaho Mus NH-none,"west of Downey, ID",,,1633.435547,-15,NA,1965,NA,NA,,United States of America,Idaho,Bannock,NA,NA,,Idaho Mus NH,1281,,,
1869,-112.116667,41.366667,2,,,Bear River No. 1,NA,"shallow pit, buffalo butchering siteassoc. w/Fremont pottery sherd (Bison Scapula/ Containing abundant clean collagen)",1419.784058,860,1100,1090,NA,NA,,United States of America,Utah,Box Elder,NA,NA,,,"1352, 838",,,
1870,-112.1166667,38.36666667,2,7682,6327,Marysvale,Assemblage,,2456.403809,650,1500,1300,NA,NA,Fremont,United States of America,Utah,Piute,0,1,Bison bison,,"403, 423, 403, 1373",,,
1871,-112.1166667,41.36666667,3,6184,4980,Bear River No. 3,,,1419.784058,950,1550,1000,NA,NA,,United States of America,Utah,Box Elder,935,7,Bison bison,,"807, 1179",,,
1872,-112.1166667,41.5,3,6195,4989,Bear River No. 2,,,1415.307007,950,1500,1000,NA,NA,,United States of America,Utah,Box Elder,0,39,Bison bison,,20,,,
1873,-112.1165531,42.40946372,1,Ferris-1831-04-06,NW8077,Ferris-1831-04-06,1830-35-Ferris,"trying to descend pass, deep snow",1633.435547,119,NA,1831,4,6,,United States of America,Idaho,Bannock,3,23,Bison bison,,342,,,
1874,-112.1117567,47.50955813,1,Lewis-1806-07-08,NW4000,Lewis-1806-07-08,1804-06-LewisClark,"to Sun River, many wildlife observations",1178.594482,144,NA,1806,7,8,,United States of America,Montana,Teton,3,3,Bison bison,,1303,,,
1875,-112.1065245,45.18401049,1,Ferris-1831-09-29,NW8189,Ferris-1831-09-29,1830-35-Ferris,bison hunt,1986.671509,119,NA,1831,9,29,,United States of America,Montana,Madison,3,33,Bison bison,,342,,,
1876,-112.105376,46.177484,3,,,MacHaffie [24JF4],NA,NA,1718.228271,12228,12308,-10278,NA,NA,,United States of America,Montana,Jefferson,NA,NA,,,"1352, 838",,,
1877,-112.105376,46.177484,2,,,Sheep Rock Spring [24JF292],NA,NA,1718.228271,11396,11516,-9446,NA,NA,,United States of America,Montana,Jefferson,NA,NA,,,"1352, 838",,,
1878,-112.105376,46.177484,2,,,MacHaffie [24JF4],NA,Feature 10,1718.228271,269,315,1681,NA,NA,,United States of America,Montana,Jefferson,NA,NA,,,"1352, 838",,,
1879,-112.1049681,45.82875116,1,Ferris-1831-09-20,NW8180,Ferris-1831-09-20,1830-35-Ferris,"in camp, Blackfoot stealing horses, move upstream",1533.900635,119,NA,1831,9,20,,United States of America,Montana,Madison,2,12,Bison bison,,342,,,
1880,-112.1022488,43.25829122,1,Ogden-1828-05-22,NW7319,Ogden-1828-05-22,1824-30-Ogden,"Down to cache on Blackfoot R, 2 beaver, 4 bison bulls killed",1611.484863,122,NA,1828,5,22,,United States of America,Idaho,Bingham,3,7,Bison bison,,982,,,
1881,-112.098815,41.224765,2,,,Hanging Rock Shelter,Organic-Yellow,,1310.103149,2000,NA,-50,NA,NA,,United States of America,Utah,Weber,2,NA,,,"423, 422",,,
1882,-112.098815,41.224765,2,,,Harney Dune,Direct Date,,1310.103149,250,NA,1700,NA,NA,,United States of America,Utah,Weber,1,1,,,423,,,
1883,-112.0983097,43.42029568,1,Ferris-1831-05-05,NW8090,Ferris-1831-05-05,1830-35-Ferris,"moving up Snake towards forks, killed numbers of bison ",1483.138916,119,NA,1831,5,5,,United States of America,Idaho,Bonneville,3,23,Bison bison,,342,,,
1884,-112.098005,40.636155,2,,,42Sl197,Assemblage,,1424.765381,1130,1380,820,NA,NA,,United States of America,Utah,Salt Lake,40,NA,,,426,,,
1885,-112.0977857,54.74240195,1,Thompson-1799-01-15,NW2710,Thompson-1799-01-15,1794-1812-Thompson,"MonthSum Red Deer House: 10 moose, 1-2 bull bison, 1/3 diet fish",569.1616211,151,NA,1799,1,15,,Canada,Alberta,.,3,4,Bison bison,,1285,,,
1886,-112.0975096,43.41413973,1,Russ-1838-10-20,NW10748,Russell-1838-10-20,1834-40-Russell,On Snake R plains till Nov 18 bison hunt,1483.138916,112,NA,1838,10,20,,United States of America,Idaho,Bonneville,3,16,Bison bison,,1113,,,
1887,-112.095857,41.301972,2,,,42Wb185,Assemblage,,1419.784058,560,1430,1390,NA,NA,,United States of America,Utah,Weber,5,NA,,,795,,,
1888,-112.0945406,42.39655615,1,Ferris-1831-04-05,NW8076,Ferris-1831-04-05,1830-35-Ferris,"moved north, bison calves abundant, caught 40 in snow",1633.435547,119,NA,1831,4,5,,United States of America,Idaho,Bannock,3,33,Bison bison,,342,,,
1889,-112.0926757,45.29826192,1,Ferris-1831-09-26,NW8186,Ferris-1831-09-26,1830-35-Ferris,"Up Ruby, bison numerous in all directions",1783.616943,119,NA,1831,9,26,,United States of America,Montana,Madison,3,33,Bison bison,,342,,,
1890,-112.0905644,49.95573755,1,Hector-1859-08-06,NW12658,Hector-1859-08-06,1856-59-Palliser,"Passed Oldman Bow confluence, SW 11M more",785.2197876,91,NA,1859,8,6,,Canada,Alberta,.,2,2,Bison bison,,1227,,,
1891,-112.0790961,44.63136773,1,Ogden-1825-09-26,NW6861,Ogden-1825-09-26,1824-30-Ogden,Move across Centennial valley process meat ,2224.985352,125,NA,1825,9,26,,United States of America,Montana,Beaverhead,3,33,Bison bison,,981,,,
1892,-112.077534,41.197387,2,,,42Wb42,Assemblage,,1310.103149,864,1569,1086,NA,NA,,United States of America,Utah,Weber,4,NA,,,423,,,
1893,-112.076592,45.08013135,1,Ogden-1825-07-07,NW6780,Ogden-1825-07-07,1824-30-Ogden,Same camp 10 beavers,2026.583374,125,NA,1825,7,7,,United States of America,Montana,Madison,2,2,Bison bison,,981,,,
1894,-112.0753548,60.40786025,1,Hearne-1772-02-15,NW832,Hearne-1772-02-15,1770-74-Hearne,"till 24th  small river L Clowey then Grt Slave L (Athabascow), bison moose ",178.7406158,178,NA,1772,2,15,,Canada,Northwest Territories,.,3,6,Bison bison,,"521, 388",,,
1895,-112.0689876,60.39456422,1,Fidler-1792-03-04,NW2104,Fidler-1792-03-04,1791-1810-Fidler,"4.5M SE, 2 go back to Slave R, Thooh gets bison towards stoney ground",178.7406158,158,NA,1792,3,4,,Canada,Northwest Territories,.,3,4,Bison bison,,"1302, 526",,,
1896,-112.0672876,42.37777962,1,Ferris-1831-04-04,NW8075,Ferris-1831-04-04,1830-35-Ferris,"crossed pass to Portneuf, bison abundant",1633.435547,119,NA,1831,4,4,,United States of America,Idaho,Bannock,3,20,Bison bison,,342,,,
1897,-112.0639811,60.39979929,1,Hearne-1772-02-14,NW831,Hearne-1772-02-14,1770-74-Hearne,"slowly eastwards through thick burnt woods, plenty bison moose",178.7406158,178,NA,1772,2,14,,Canada,Northwest Territories,.,3,6,Bison bison,,"521, 388",,,
1898,-112.0597323,43.60219003,1,Bonn-1833-01-18,NW9343,Bonn-1833-01-18,1832-35-Bonneville,Major Bannack Camp down valley bison in great numbers,1451.345825,117,NA,1833,1,18,,United States of America,Idaho,Bonneville,3,20,Bison bison,,612,,,
1899,-112.056115,45.85530104,1,Ferris-1831-09-19,NW8179,Ferris-1831-09-19,1830-35-Ferris,"drying meat, from none to plenty, Frasier killed by Blackfeet",1533.900635,119,NA,1831,9,19,,United States of America,Montana,Jefferson,3,33,Bison bison,,342,,,
1900,-112.0515977,60.39171525,1,Hearne-1772-02-13,NW830,Hearne-1772-02-13,1770-74-Hearne,"slowly eastwards through thick burnt woods, plenty bison moose",178.7406158,178,NA,1772,2,13,,Canada,Northwest Territories,.,3,6,Bison bison,,"521, 388",,,
1901,-112.0502702,43.74670828,1,Russ-1805-10-13,NW10304,Russell-1835-10-13,1834-40-Russell,Went 30M  due east to forks Snake 15 lodges Shoshone ,1463.869751,115,NA,1835,10,13,,United States of America,Idaho,Jefferson,3,20,Bison bison,,1113,,,
1902,-112.0435066,43.65573652,1,Bonn-1833-01-17,NW9342,Bonn-1833-01-17,1832-35-Bonneville,In Snake River Camp till Feb 19,1463.869751,117,NA,1833,1,17,,United States of America,Idaho,Jefferson,3,20,Bison bison,,612,,,
1903,-112.041822,40.809373,2,,,42Sl285,Assemblage,,1285.2323,600,1600,1350,NA,NA,,United States of America,Utah,Salt Lake,1,NA,,,426,,,
1904,-112.0379834,60.38705264,1,Hearne-1772-02-12,NW829,Hearne-1772-02-12,1770-74-Hearne,"slowly eastwards through thick burnt woods, plenty bison moose",178.7406158,178,NA,1772,2,12,,Canada,Northwest Territories,.,3,6,Bison bison,,"521, 388",,,
1905,-112.0372372,43.71736817,1,Bonn-1833-01-16,NW9341,Bonn-1833-01-16,1832-35-Bonneville,Bison herds to large to be driven off plains good quote,1463.869751,117,NA,1833,1,16,,United States of America,Idaho,Jefferson,3,20,Bison bison,,612,,,
1906,-112.0275242,60.32457377,1,Hearne-1772-02-10,NW827,Hearne-1772-02-10,1770-74-Hearne,"slowly eastwards through thick burnt woods, plenty bison moose",178.7406158,178,NA,1772,2,10,,Canada,Northwest Territories,.,3,6,Bison bison,,"521, 388",,,
1907,-112.0274434,45.85875886,1,Ferris-1832-09-20,NW8437,Ferris-1832-09-20,1830-35-Ferris,"crossed mountain to Jefferson, got 1 bull, several elk, deer, antelopes",1533.900635,118,NA,1832,9,20,,United States of America,Montana,Jefferson,3,4,Bison bison,,342,,,
1908,-112.0234765,60.37966055,1,Hearne-1772-02-11,NW828,Hearne-1772-02-11,1770-74-Hearne,"slowly eastwards through thick burnt woods, plenty bison moose",178.7406158,178,NA,1772,2,11,,Canada,Northwest Territories,.,3,6,Bison bison,,"521, 388",,,
1909,-112.0210412,42.6287513,1,Bonn-1833-12-23,NW9561,Bonn-1833-12-23,1832-35-Bonneville,Likely processing bison for trip W,1908.832153,117,NA,1833,12,23,,United States of America,Idaho,Bannock,2,2,Bison bison,,612,,,
1910,-112.02,46.59,2,,24JF4,MacHaffie II,Site,CAMP,1507.62561,8342,NA,-6392,NA,NA,Paleoindian,United States of America,Montana,Lewis and Clark,1,NA,,,359,,,
1911,-112.0113915,43.56388096,1,Ferris-1831-05-10,NW8091,Ferris-1831-05-10,1830-35-Ferris,"moving up Snake towards forks, killed numbers of bison ",1451.345825,119,NA,1831,5,10,,United States of America,Idaho,Bonneville,3,23,Bison bison,,342,,,
